signatur;adm;hicr;strichcode;inventarnummer;exemplar-id;bestands-id;mms-id
c15810/35;000029290;;;;;;
c15810/36;000793641;;;;;;
c15810/38;000793643;;;;;;
c15810/39;000793644;;;;;;
c15810/40;001615922;;;;;;
c15810/42;000793646;;04300003049063;6159737;2316561830005510;2216561940005510;990010017410205510
c15810/43;000793647;;;;;;
c15810/45;001619506;;;;;;
c15810/46;000793649;;;;;;
c15811/1;000703097;;;;;;
c15811/3;000703099;;;;;;
c15812;000217567;;04300003049068;6160380;2318604620005510;2218604630005510;990002175670205510
c15816/2.1;002673387;;04300003049032;6130043;2319128340005510;2219128350005510;990026733870205510
c15816/2.2;002673678;;04300003049034;6159475;2319107170005510;2219107180005510;990026736780205510
c15816/3.1;002673681;;04300003049035;6159505;2319143930005510;2219143960005510;990026736810205510
c15816/3.2;002673682;;04300003049036;6159511;2319145640005510;2219145650005510;990026736820205510
c15816/4;002673684;;em000006516445;;2315348120005510;2215348130005510;990060745350205510
c16003;002807349;h;;;;;
c16002/01;001024187;h;;;;;
c16002/02;001024188;h;;;;;
c16002/03;001024189;h;;;;;
c16002/04;001024190;h;;;;;
c16002/05;001024191;h;;;;;
c16002/06;000245005;h;;;;;
c16002/07;001024192;h;;;;;
c16002/08;001024193;h;;;;;
c16002/09;001024194;h;;;;;
c16002/10;001024195;h;;;;;
c16002/11;001024196;h;;;;;
c16002/12;001024197;h;;;;;
c16002/13;001024198;h;;;;;
c16002/14;001024199;h;;;;;
c16002/15;001024200;h;;;;;
c16002/16;001024201;h;;;;;
c16002/17;001024202;h;;;;;
c16002/18;001024203;h;;;;;
c16002/19;001024204;h;;;;;
c16002/20;001024205;h;;;;;
c16002/21;001024206;h;;;;;
c16002/22;001024207;h;;;;;
c16002/23;001024208;h;;;;;
c16002/24;001024209;h;;;;;
c16002/25;001024210;h;;;;;
c16003;002807349;h;;;;;
c16003cd;002807349;h;;;;;
c16003cd;002807349;h;;;;;
c16003/1.01;000484441;h;;;;;
c16003/1.02;000484443;h;;;;;
c16003/1.03;000484861;h;;;;;
c16003/1.04;000484866;h;;;;;
c16003/1.05;000484867;h;;;;;
c16003/1.06;000484870;h;;;;;
c16003/1.07;000484872;h;;;;;
c16003/1.08;000484875;h;;;;;
c16003/1.09;000484886;h;;;;;
c16003/1.10;000484927;h;;;;;
c16003/1.11;000484939;h;;;;;
c16003/1.12;000525810;h;;;;;
c16003/1.14;000531323;h;;;;;
c16003/1.15;000551073;h;;;;;
c16003/1.16;000569826;h;;;;;
c16003/1.17;000616312;h;;;;;
c16003/1.18;000621804;h;;;;;
c16003/1.19;000621808;h;;;;;
c16003/1.20;000659288;h;;;;;
c16003/1.21;000686415;h;;;;;
c16003/1.22;000895595;h;;;;;
c16003/1.23;000912330;h;;;;;
c16003/1.24;000919340;h;;;;;
c16003/1.25;001380523;h;;;;;
c16003/1.26;001450439;h;;;;;
c16003/1.27;001622613;h;;;;;
c16003/1.28;001666315;h;;;;;
c16003/1.29;001694862;h;;;;;
c16003/2.01;000571863;h;;;;;
c16003/2.02;000493411;h;;;;;
c16003/2.03;000493413;h;;;;;
c16003/2.05;001361297;h;;;;;
c16003/2.06;000959038;h;;;;;
c16003/2.07;001496320;h;;;;;
c16003/2.4;000686419;h;;;;;
c16003/r.10;001458667;h;;;;;
